OBJECTID,Is 24 Hours,Car Park Count,Has Carpark Cost,Has Tourist Attraction,Latitude,Longitude,Number Of Connectors,Has Charging Cost,x,y
179862,1,1,0,0,-43.73745,170.100913,1,1,1366541.235,5153202.164
179863,1,3,0,0,-45.4147023,167.710591,1,1,1186140.202,4957354.959
179864,0,9,0,0,-36.8816643,174.7839851,4,0,1758984.878,5916769.114
179865,1,7,0,1,-37.35455751,175.0803002,3,1,1784244.724,5863764.29
179866,1,8,0,0,-37.73171372,175.2225439,3,1,1795854.604,5821625.907
179867,1,10,0,0,-37.77855884,175.2987869,5,0,1802446.41,5816265.169
179868,1,9,0,0,-37.8767286,175.3245484,3,1,1804444.234,5805314.995
179869,1,10,0,0,-37.56470043,175.1583969,5,0,1790627.807,5840290.97
179870,1,2,0,0,-37.41256656,175.1274874,3,1,1788279.247,5857234.398
179871,1,8,0,0,-37.73193201,175.2735838,5,0,1800352.34,5821493.617
179872,1,3,0,0,-37.7883439,175.2812811,3,1,1800878.016,5815217.093
179873,1,8,0,0,-37.72241278,175.2575858,5,0,1798967.86,5822584.091
179874,1,7,0,1,-37.80028681,174.8703114,3,1,1764660.014,5814695.663
179875,1,8,0,0,-37.7936207,175.2863778,5,0,1801312.546,5814620.557
179876,1,9,0,0,-37.78172061,175.2742917,5,0,1800280.375,5815967.082
179877,1,5,0,0,-37.77801454,175.3088286,3,1,1803332.359,5816303.772
179878,1,9,0,0,-36.96488604,174.9126173,14,0,1770264.222,5907313.691
179879,1,0,0,0,-37.77815748,175.3080591,4,1,1803264.184,5816289.584
179880,1,10,0,0,-38.0080929,175.3249891,4,1,1804119.067,5790736.075
179881,1,6,0,0,-37.7881084,175.2583559,2,1,1798859.71,5815292.261
179882,1,9,0,0,-37.79317,175.280269,2,1,1800775.82,5814683.715
179883,1,10,0,0,-37.805253,175.39685,2,1,1811007.75,5813085.904
179884,1,10,0,0,-37.8940045,175.4714022,4,1,1817311.152,5803065.663
179885,0,5,1,0,-36.84877494,174.7581292,9,0,1756747.638,5920460.805
179886,1,5,0,0,-43.591442,172.3776,6,1,1549758.442,5173315.007
179887,1,0,0,0,-43.540028,172.62218,2,1,1569475.57,5179143.843
179888,1,7,0,0,-36.93105,174.91133,2,1,1770224.919,5911070.086
179889,1,2,0,0,-38.990505,175.81082,2,1,1843446.904,5680518.18
179890,1,1,0,0,-41.222412,174.86925,2,1,1756680.856,5434868.052
179891,1,3,0,0,-36.849667,174.77455,2,1,1758209.946,5920334.757
179892,1,9,0,0,-41.29433,174.77408,2,1,1748540.254,5427050.806
179893,1,7,0,0,-41.1088938,175.097346,2,1,1776104.789,5447034.834
179894,1,1,0,0,-37.75429253,175.2306405,4,1,1796508.444,5819103.391
179895,1,9,0,0,-37.69600804,176.1070025,2,1,1873942.877,5823368.345
179896,1,10,0,0,-36.39241569,174.6512969,4,1,1748092.777,5971259.115
179897,1,1,0,0,-38.32391951,175.1526705,4,1,1788174.701,5756051.804
179898,1,8,0,0,-36.77426455,174.5522723,4,1,1738527.148,5929045.165
179899,1,8,0,0,-37.2781761,175.0460801,4,1,1781397.178,5872305.681
179900,1,10,1,0,-41.14883782,174.8371254,2,1,1754160.567,5443093.729
179901,1,6,0,0,-40.95304511,175.6572847,2,1,1823651.676,5463054.731
179902,1,2,1,0,-41.29427436,174.7815621,1,1,1749166.868,5427044.151
179903,0,2,0,0,-43.59049,172.630201,4,0,1570148.524,5173542.474
179904,1,4,0,0,-40.72109802,175.6397384,2,0,1822951.108,5488851.114
179905,1,8,0,0,-44.303657,171.225107,4,1,1458426.711,5092867.904
179906,1,7,0,0,-43.557139,172.680089,4,0,1574161.406,5177263.135
179907,1,7,0,0,-43.540331,172.604632,2,1,1568058.01,5179103.603
179908,1,6,0,0,-43.53915549,172.6074866,2,1,1568288.02,5179235.245
179909,1,9,0,0,-43.30485776,172.5933352,4,1,1567017.749,5205250.081
179910,0,8,0,0,-41.12646825,174.8375131,2,1,1754245.521,5445576.511
179911,1,6,0,0,-41.29055552,174.8970403,2,1,1758845.116,5427252.116
179912,1,0,0,0,-41.28065437,174.9073127,1,1,1759729.448,5428332.521
179913,1,8,0,0,-42.52231104,172.8283791,4,1,1585903.587,5292215.261
179914,0,2,0,0,-36.84877494,174.7581292,4,1,1756747.638,5920460.805
179915,1,6,0,0,-36.93801979,174.6561285,2,0,1747481.077,5910722.151
179916,1,6,0,0,-43.55310269,172.5562826,4,0,1564159.4,5177665.486
179917,1,6,0,0,-43.38363038,172.6576248,4,1,1572267.795,5196525.355
179918,0,10,0,0,-43.53300448,172.6418037,2,1,1571057.629,5179930.882
179919,1,7,0,0,-43.623545,171.647953,4,0,1490917.293,5169049.762
179920,1,8,0,0,-41.24776407,174.9031888,12,1,1759464.101,5431991.67
179921,1,3,0,0,-41.32294784,173.2142306,4,0,1617928.898,5425369.524
179922,1,10,0,0,-43.52459977,172.6680243,6,1,1573172.538,5180873.087
179923,1,4,0,0,-37.78702527,175.2839907,4,1,1801120.224,5815357.594
179924,1,2,0,0,-36.84877494,174.7581292,8,1,1756747.642,5920460.805
179925,1,3,0,0,-41.18470134,174.9491019,4,1,1763468.25,5438907.733
179926,1,2,0,0,-43.90318226,171.7463065,4,1,1499322.612,5138116.537
179927,1,3,0,0,-43.50690707,172.5473825,4,1,1563412.592,5182792.043
179928,1,5,0,0,-40.9574405,175.6495904,2,1,1822989.213,5462586.404
179929,1,4,0,0,-40.29789962,175.7499664,4,1,1833727.898,5535548.78
