OBJECTID,Is 24 Hours,Car Park Count,Has Carpark Cost,Has Tourist Attraction,Latitude,Longitude,Number Of Connectors,Has Charging Cost,x,y,Combined Latitude,Combined Longitude
180096,1,1,0,1,-41.334271,174.773264,2,1,1748381.295,5422617.853,874169.9803645,2711396.313132
181776,1,1,0,1,-41.1456647,174.839828,4,1,1754394.813,5443441.219,877176.83366765,2721808.029414
182744,1,1,0,1,-37.803753,175.769951,2,1,1843864.781,5812343.767,921913.4886235,2906259.7684755
181431,1,1,0,1,-40.917054,175.002489,4,1,1768628.287,5468520.2,884293.684973,2734347.6012445
180876,1,1,0,1,-36.830041,174.796572,2,1,1760214.448,5922475.468,880088.8089795001,2961325.132286
184507,1,1,0,0,-43.50690707,172.5473825,4,1,1563412.592,5182792.043,781684.542546465,2591482.29519125
191578,1,1,0,0,-43.517235,172.587829,2,1,1566687.777,5181662.025,783322.1298825,2590917.3064145003
181525,1,1,0,1,-43.90528,171.745359,3,1,1499250.062,5137882.392,749603.0783599999,2569027.0686795
190252,1,1,0,0,-45.324121,170.816989,2,1,1428918.557,4978724.701,714436.6164395,2489447.7589945
184732,1,1,0,0,-44.002983,170.475634,2,1,1397618.964,5124697.654,698787.4805085,2562434.064817
182762,1,1,0,1,-38.457178,176.704494,3,1,1923266.603,5736953.591,961614.072911,2868565.147747
190193,1,1,0,0,-43.324396,172.598728,2,1,1567465.554,5203082.385,783711.114802,2601627.491864
181757,1,1,0,1,-41.18470134,174.9491019,4,1,1763468.25,5438907.733,881713.53264933,2719541.34105095
182246,1,1,0,1,-43.52414449,172.3662733,4,1,1548787.158,5180782.125,774371.816927755,2590477.24563665
180647,1,1,0,1,-45.94324,169.261463,2,1,1310227.15,4905460.14,655090.60338,2452814.7007315
191869,1,1,0,0,-36.834533,175.703773,2,1,1841116.764,5920071.047,920539.9647335,2960123.3753865003
182825,1,1,0,1,-41.28381,174.738131,2,1,1745553.579,5428279.658,872756.147595,2714227.1980655
187176,1,1,0,0,-35.684183,174.321699,4,1,1719598.147,6050274.608,859781.2314085001,3025224.4648495
191155,1,1,0,0,-44.694064,169.139139,2,1,1294087.405,5043779.671,647021.355468,2521974.4050695
182006,1,1,0,1,-45.128575,170.097858,2,1,1371779.277,4998668.452,685867.0742125,2499419.2749289996
191815,1,1,0,0,-43.540331,172.604632,2,1,1568058.01,5179103.603,784007.2348345,2589638.1038160003
185229,1,1,0,0,-46.116449,169.964229,2,1,1365430.994,4888533.122,682692.4387754999,2444351.5431145
181969,1,1,0,1,-43.579833,172.564889,4,1,1564870.108,5174700.505,782413.2640835,2587436.5349445
192016,1,1,0,0,-42.450054,171.208751,2,1,1452700.74,5298698.481,726329.144973,2649434.8448755
190134,1,1,0,0,-40.918804,174.98174,2,1,1766876.524,5468365.727,883417.802598,2734270.35437
181936,1,1,0,1,-42.120066,171.866254,2,1,1506281.941,5336270.923,753119.9104670001,2668221.394627
190070,1,1,0,0,-37.778893,175.273749,2,1,1800240.207,5816282.025,900101.2140535,2908228.6493745004
180053,1,1,0,1,-40.644432,175.703665,2,1,1828612.93,5497198.354,914286.142784,2748687.0288325003
181845,1,1,0,1,-38.373898,178.296608,2,1,2062809.155,5739397.784,1031385.390551,2869788.040304
180471,1,1,0,1,-38.373898,178.296608,2,1,2062809.155,5739397.784,1031385.390551,2869788.040304
182129,1,1,0,1,-35.118102,173.268864,2,1,1624499.012,6113826.678,812231.946949,3056999.9734320003
183616,1,1,0,0,-41.02582482,175.5292415,4,1,1812639.719,5455294.35,906299.3465875901,2727734.93962075
190060,1,1,0,0,-37.203677,175.873856,2,1,1855049.752,5878663.233,927506.2741615,2939419.553428
186459,1,1,0,0,-40.355518,175.611913,2,1,1821804.114,5529507.644,910881.879241,2764841.6279565003
187465,1,1,0,0,-43.579833,172.564889,4,1,1564870.108,5174700.505,782413.2640835,2587436.5349445
180760,1,1,0,1,-35.379808,174.065521,2,1,1696780.997,6084315.272,848372.808596,3042244.6687605
184083,1,1,0,0,-36.834533,175.703773,2,1,1841116.764,5920071.047,920539.9647335,2960123.3753865003
184181,1,1,0,0,-40.948637,175.665992,2,1,1824399.542,5463521.812,912179.2966814999,2731848.738996
182398,1,1,0,1,-42.450054,171.208751,2,1,1452700.74,5298698.481,726329.144973,2649434.8448755
186942,1,1,0,0,-41.251426,172.128479,2,1,1526982.612,5432965.476,763470.680287,2716568.8022395
189093,1,1,0,0,-43.89638233,171.7583053,4,1,1500274.825,5138886.336,750115.464308835,2569529.04715265
184333,1,1,0,0,-43.3239869,172.6643429,4,1,1572785.318,5203151.292,786370.99700655,2601661.97817145
